data_name,cost_p_value,cost_a12,rate_p_value,rate_a12
gsdtsr,0.01709172673883766,0.2,6.294387081562151e-05,1.0
paintcontrol,6.248742801391496e-05,0.0,6.294387081562151e-05,1.0
